# Categorical phenotype: primary diet category per species.
# Format: species<TAB>category  (no header; lines starting with '#' are ignored)
Human	omnivore
Chimpanzee	omnivore
Gorilla	herbivore
Orangutan	herbivore
Gibbon	herbivore
Rhesus	omnivore
Marmoset	omnivore
Tarsier	carnivore
Mouse_lemur	omnivore
Bushbaby	omnivore
TreeShrew	omnivore
Squirrel	herbivore
Mouse	omnivore
Rat	omnivore
Kangaroo_rat	herbivore
Guinea_pig	herbivore
Rabbit	herbivore
Pika	herbivore
Vole	herbivore
Hamster	omnivore
Dog	carnivore
Cat	carnivore
Horse	herbivore
Cow	herbivore
Pig	omnivore
Alpaca	herbivore
Dolphin	carnivore
Killer_whale	carnivore
Manatee	herbivore
Walrus	carnivore
Seal	carnivore
Hedgehog	omnivore
Shrew	omnivore
Bat_fruit	herbivore
Megabat	herbivore
Elephant	herbivore
Tenrec	omnivore
Hyrax	herbivore
Opossum	omnivore
Wallaby	herbivore
Platypus	carnivore
Tasmanian_devil	carnivore
