# Continuous phenotype: log adult body weight (cm) per species.
# Format: species<TAB>value  (no header; lines starting with '#' are ignored)
Human	4.65
Chimpanzee	4.28
Gorilla	4.85
Orangutan	4.70
Gibbon	3.71
Rhesus	3.67
Marmoset	2.78
Tarsier	1.86
Mouse_lemur	1.89
Bushbaby	2.63
TreeShrew	2.51
Squirrel	3.11
Mouse	2.30
Rat	2.88
Kangaroo_rat	2.59
Guinea_pig	3.22
Rabbit	3.40
Pika	2.79
Vole	2.52
Hamster	2.53
Dog	4.10
Cat	3.53
Horse	5.15
Cow	5.36
Pig	4.93
Alpaca	4.78
Dolphin	4.88
Killer_whale	5.70
Manatee	5.04
Walrus	5.48
Seal	4.43
Hedgehog	2.77
Shrew	1.89
Bat_fruit	3.54
Megabat	3.84
Elephant	6.13
Tenrec	2.79
Hyrax	3.76
Opossum	3.24
Wallaby	4.40
Platypus	3.73
Tasmanian_devil	3.67
